City,State,Lat,Long
Amaravati,Andhra Pradesh,20.9374,77.7796
Itanagar ,Arunachal Pradesh,27.1,93.62
Dispur,Assam,26.1433,91.7898
Patna,Bihar,25.5941,85.1376
Raipur,Chattisgarh,21.2514,81.6296
Panaji,Goa,15.4909,73.8278
Gandhinagar,Gujarat,23.2156,72.6369
Chandigarh,Haryana,30.7333,76.7794
Shimla,Himachal,31.1048,77.1734
Srinagar,Jammu and Kashmir,34.0836,74.7973
Benaluru,Karnataka,12.9716,77.5946
Thiruvananthapuram,Kerala,8.5241,76.9366
Bhopal,Madhya Pradesh,23.2599,77.4126
Mumbai,Maharashtra,19.076,72.8777
Imphal,Manipur,24.817,93.9368
Shillong,Meghalaya,25.5788,91.8933
Aizawl,Mizoram,23.7271,92.7176
Kohima,Nagaland,25.6586,94.1053
Bhubaneswar,Odisha,20.2961,85.8245
Chandigarh,Punjab,30.7333,76.7794
Jaipur,Rajasthan,26.9124,75.7873
Gangtok,Sikkim,27.3389,88.6065
Chennai,Tamil Nadu,13.0827,80.2707
Hyderabad,Telangana,17.385,78.4867
Agartala,Tripura,23.8315,91.2868
Lucknow,Uttar Pradesh,26.8467,80.9462
Dehradun,Uttarakhand,30.3165,78.0322
Kolkata,West Bengal,22.5726,88.3639
New Dehli,NCR,28.7041,77.1025
